#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_dmmy   t_calc  GFLOPS
   100    640    640    640       262144000 T    1  128        2.778    0.009    2.294   33.372   109.839
   200    640    640    640       262144000 T    1  128        2.785    0.010    2.309   66.406   110.398
   100    640    640    640       262144000 F    1  128        2.261    0.010    2.344   33.991   107.838
   200    640    640    640       262144000 F    1  128        2.279    0.009    2.360   67.223   109.056
    20   1024   1024   1024      1073741824 T    1  128        5.306    0.039    7.290   28.068   114.765
    40   1024   1024   1024      1073741824 T    1  128        5.296    0.038    7.308   55.700   115.663
    20   1024   1024   1024      1073741824 F    1  128        3.424    0.038    7.640   29.533   109.072
    40   1024   1024   1024      1073741824 F    1  128        3.430    0.039    7.796   57.405   112.228
    20   1280   1280   1280      2097152000 T    1  128       21.272    0.077   13.836   55.842   116.292
    40   1280   1280   1280      2097152000 T    1  128       21.335    0.076   14.539  116.341   111.637
    20   1280   1280   1280      2097152000 F    1  128       17.376    0.076   14.048   55.920   116.130
    40   1280   1280   1280      2097152000 F    1  128       17.348    0.076   14.148  111.957   116.009
    10   2048   2048   2048      8589934592 T    1  128       33.329    0.314   64.058  127.989   110.739
    20   2048   2048   2048      8589934592 T    1  128       33.350    0.314   63.514  255.899   110.773
    10   2048   2048   2048      8589934592 F    1  128       25.455    0.314   66.032  132.792   106.734
    20   2048   2048   2048      8589934592 F    1  128       25.514    0.313   69.387  275.884   102.749
    10   2560   2560   2560     16777216000 T    1  128       57.915    0.608  126.213  255.918   111.335
    20   2560   2560   2560     16777216000 T    1  128       57.982    0.612  126.757  507.986   112.179
