#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_itr0   t_calc  GFLOPS
    20   1024   1024   1024      1073741824 T    1  512        2.651    0.010    0.442   18.379   175.267
    40   1024   1024   1024      1073741824 T    1  512        2.638    0.009    0.459   27.241   236.498
   100   1024   1024   1024      1073741824 T    1  512        2.657    0.010    0.452   59.199   272.068
   200   1024   1024   1024      1073741824 T    1  512        2.682    0.009    0.442  100.505   320.504
    20   1024   1024   1024      1073741824 F    1  512        2.150    0.009    0.473   23.289   138.315
    40   1024   1024   1024      1073741824 F    1  512        2.158    0.009    0.481   34.053   189.189
   100   1024   1024   1024      1073741824 F    1  512        2.188    0.008    0.471   57.474   280.233
   200   1024   1024   1024      1073741824 F    1  512        2.202    0.009    0.463  103.043   312.610
    20   2048   2048   2048      8589934592 T    1  512       11.271    0.079    3.732   79.116   358.294
    40   2048   2048   2048      8589934592 T    1  512       11.295    0.078    3.781  160.660   352.879
    20   2048   2048   2048      8589934592 F    1  512        6.855    0.079    3.874   82.978   341.618
    40   2048   2048   2048      8589934592 F    1  512        6.851    0.078    3.875  160.961   352.219
    20   2560   2560   2560     16777216000 T    1  512       23.528    0.152    7.115  149.330   381.605
    40   2560   2560   2560     16777216000 T    1  512       23.531    0.152    7.160  294.096   387.527
    20   2560   2560   2560     16777216000 F    1  512       16.536    0.152    7.733  158.460   359.618
    40   2560   2560   2560     16777216000 F    1  512       16.554    0.152    7.591  314.811   362.028
