#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_dmmy   t_calc  GFLOPS
    20   2000   2000   2000      8000000000 T    1 2000       52.972    0.018    4.475   17.658  1490.423
    40   2000   2000   2000      8000000000 T    1 2000       56.017    0.019    4.483   35.704  1474.226
   100   2000   2000   2000      8000000000 T    1 2000       64.359    0.018    4.433   88.447  1487.777
   200   2000   2000   2000      8000000000 T    1 2000       63.863    0.018    4.546  180.050  1461.699
    20   2000   2000   2000      8000000000 F    1 2000       65.221    0.018    4.551   18.063  1457.005
    40   2000   2000   2000      8000000000 F    1 2000       67.654    0.018    4.815   36.373  1447.111
   100   2000   2000   2000      8000000000 F    1 2000       76.263    0.017    4.764   91.071  1444.910
   200   2000   2000   2000      8000000000 F    1 2000       69.250    0.017    4.608  184.746  1424.544
    20   4000   4000   4000     64000000000 T    1 2000       18.718    0.149   74.663  166.705  1378.141
    40   4000   4000   4000     64000000000 T    1 2000       18.727    0.148   79.972  333.818  1376.457
   100   4000   4000   4000     64000000000 T    1 2000       18.781    0.148   77.773  829.302  1385.159
   200   4000   4000   4000     64000000000 T    1 2000       18.705    0.149   75.731 1669.146  1376.411
    20   4000   4000   4000     64000000000 F    1 2000       14.189    0.148   88.803  183.880  1249.418
    40   4000   4000   4000     64000000000 F    1 2000       13.923    0.148   82.303  366.414  1254.008
   100   4000   4000   4000     64000000000 F    1 2000       13.883    0.149   97.761  924.131  1243.022
   200   4000   4000   4000     64000000000 F    1 2000       13.903    0.149   93.853 1846.395  1244.279
