# htcf02c01p06
#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_itr0   t_calc  GFLOPS
   100    640    640    640       262144000 T    1  128        1.400    0.000    1.710   13.360   274.366
   200    640    640    640       262144000 T    1  128        1.020    0.010    1.760   26.640   275.190
   100    640    640    640       262144000 F    1  128        0.730    0.010    1.830   13.300   275.604
   200    640    640    640       262144000 F    1  128        0.740    0.000    1.900   26.580   275.811
   100   1024   1024   1024      1073741824 T    1  128        2.650    0.020    3.240   55.540   289.991
   200   1024   1024   1024      1073741824 T    1  128        2.640    0.010    4.320  111.360   289.262
   100   1024   1024   1024      1073741824 F    1  128        1.500    0.020    3.800   56.300   286.077
   200   1024   1024   1024      1073741824 F    1  128        1.500    0.020    3.970  112.900   285.317
   100   1280   1280   1280      2097152000 T    1  128        9.500    0.030    7.750  111.600   290.950
   200   1280   1280   1280      2097152000 T    1  128        9.520    0.020    7.420  222.320   292.101
   100   1280   1280   1280      2097152000 F    1  128        7.140    0.030    6.500  111.870   290.247
   200   1280   1280   1280      2097152000 F    1  128        7.150    0.030   12.620  223.200   290.950
    50   2048   2048   2048      8589934592 T    1  128       24.040    0.110   19.400  257.970   274.710
   100   2048   2048   2048      8589934592 T    1  128       24.080    0.110   22.980  518.570   273.317
    50   2048   2048   2048      8589934592 F    1  128       17.200    0.110   31.290  256.410   276.381
   100   2048   2048   2048      8589934592 F    1  128       17.200    0.100   39.980  514.090   275.699
    50   2560   2560   2560     16777216000 T    1  128       36.170    0.210   32.750  502.730   283.378
   100   2560   2560   2560     16777216000 T    1  128       36.190    0.210   34.340 1010.020   282.099
