# htcf01c01p08
#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_itr0   t_calc  GFLOPS
   100   1024   1024   1024      1073741824 T    1  256        1.760    0.010    3.230   28.610   562.954
   200   1024   1024   1024      1073741824 T    1  256        1.600    0.010    4.320   57.260   562.561
   100   1024   1024   1024      1073741824 F    1  256        1.120    0.010    3.180   29.140   552.715
   200   1024   1024   1024      1073741824 F    1  256        1.130    0.000    3.470   58.200   553.475
   100   1280   1280   1280      2097152000 T    1  256        3.760    0.020    8.450   56.670   572.966
   200   1280   1280   1280      2097152000 T    1  256        3.940    0.020    6.820  113.390   572.713
   100   1280   1280   1280      2097152000 F    1  256        2.530    0.010    7.460   57.090   568.751
   200   1280   1280   1280      2097152000 F    1  256        2.570    0.010    7.030  114.160   568.850
    50   2048   2048   2048      8589934592 T    1  256       10.660    0.050   14.930  127.900   554.081
   100   2048   2048   2048      8589934592 T    1  256       10.660    0.060   20.720  258.160   549.016
    50   2048   2048   2048      8589934592 F    1  256        5.650    0.050   20.210  127.540   555.645
   100   2048   2048   2048      8589934592 F    1  256        5.580    0.060   15.180  254.680   556.518
    50   2560   2560   2560     16777216000 T    1  256       29.460    0.110   26.280  253.070   562.938
   100   2560   2560   2560     16777216000 T    1  256       29.630    0.110   27.630  505.820   563.295
    50   2560   2560   2560     16777216000 F    1  256       22.380    0.110   34.250  253.130   562.805
   100   2560   2560   2560     16777216000 F    1  256       22.210    0.100   49.030  505.640   563.495
    50   3072   3072   3072     28991029248 T    1  256       37.940    0.180   41.850  423.190   595.229
   100   3072   3072   3072     28991029248 T    1  256       37.990    0.180   33.340  845.890   595.574
    50   3072   3072   3072     28991029248 F    1  256       31.060    0.180   49.730  429.320   586.730
   100   3072   3072   3072     28991029248 F    1  256       31.060    0.180   51.740  857.950   587.202
    10   4096   4096   4096     68719476736 T    1  256       37.130    0.430   48.500  252.940   489.029
    20   4096   4096   4096     68719476736 T    1  256       37.170    0.430   40.160  505.570   489.329
    10   4096   4096   4096     68719476736 F    1  256       29.410    0.430   62.490  247.740   499.294
    20   4096   4096   4096     68719476736 F    1  256       29.350    0.430   65.980  496.160   498.610
    10   5120   5120   5120    134217728000 T    1  256       53.420    0.840   98.760  427.780   579.908
    20   5120   5120   5120    134217728000 T    1  256       53.410    0.840   80.960  855.680   579.827
